firmware,duration_s,new_sequences,lost_sequences,sequence_loss_percent,ack_timeouts_delta,acked_packets_delta,duplicates_delta,radar_sequence_loss_free
0.1.5,60,286,2,0.70,84,205,524,failed
0.1.6,60,263,0,0.00,0,263,173,passed
