sample_index,timestamp_local,timestamp_utc,elapsed_s,tick,tick_changed,node_count,node_ids,missing_nodes,estimated_persons,presence,motion_level,classification_confidence,mean_rssi,variance,motion_band_power,breathing_band_power,dominant_freq_hz,spectral_power,change_points,breathing_rate_bpm,breathing_confidence,heart_rate_bpm,heartbeat_confidence,signal_quality
46,2026-06-28T01:33:18+02:00,2026-06-27T23:33:18+00:00,46.177,2630,True,4,1 2 3 4,,1,True,present_still,0.6928358854269148,-61.0,46.255300391610035,74.97351309174867,72.9984843110375,1.3625,183.30078125,6,7.523701824585378,0.4337232043755568,99.7816406398935,0.4037023827835061,0.26255324007568503
47,2026-06-28T01:33:19+02:00,2026-06-27T23:33:19+00:00,47.182,2667,True,4,1 2 3 4,,1,True,present_still,0.4728888130278858,-61.0,42.007738262913676,65.54694665983868,67.05165187126619,1.1875,171.4296875,4,7.523701824585378,0.4307560137269227,99.7816406398935,0.40159981350666274,0.2113215405215665
48,2026-06-28T01:33:20+02:00,2026-06-27T23:33:20+00:00,48.187,2701,True,4,1 2 3 4,,1,True,present_moving,0.6634587316548202,-62.0,36.60367155947171,56.98406834499626,64.43928558654544,1.3625,176.796875,5,9.42800825913626,0.3734189894984372,54.906661158019446,0.37392604487986303,0.5
49,2026-06-28T01:33:21+02:00,2026-06-27T23:33:21+00:00,49.192,2737,True,4,1 2 3 4,,1,True,present_still,0.737935897189088,-61.0,46.092667449238334,65.5889060159665,75.09507404332686,1.3250000000000002,190.23046875,4,7.523701824585378,0.43453369083601906,99.7816406398935,0.3868781068923953,0.3646256968361129
50,2026-06-28T01:33:22+02:00,2026-06-27T23:33:22+00:00,50.197,2775,True,4,1 2 3 4,,1,True,present_still,0.7725332643770709,-61.0,46.334376847613214,66.21192514334307,73.40247093400157,1.975,178.171875,4,7.523701824585378,0.42196509418946493,99.7816406398935,0.4015082727493082,0.3110644575829966
51,2026-06-28T01:33:23+02:00,2026-06-27T23:33:23+00:00,51.199,2814,True,4,1 2 3 4,,1,True,present_still,0.5998456410469957,-62.0,41.38276104535979,63.037704165121156,64.8402218859832,1.2875,171.6015625,4,7.523701824585378,0.3972978504889419,99.7816406398935,0.3651341457678248,0.4088200754049355
52,2026-06-28T01:33:25+02:00,2026-06-27T23:33:25+00:00,52.204,2850,True,4,1 2 3 4,,1,True,present_moving,0.37124212364000886,-62.0,39.68172342502732,55.19528526402683,64.53212054449638,1.9625,158.79296875,7,11.4192662142378,0.42720546084201244,106.20057550561462,0.40845810102789093,0.4677369904205547
53,2026-06-28T01:33:26+02:00,2026-06-27T23:33:26+00:00,53.209,2880,True,4,1 2 3 4,,1,True,present_moving,0.5412268156499286,-61.0,44.768599397429234,67.39983815527314,75.95223793059486,1.925,182.16796875,8,9.42800825913626,0.3909963773251131,54.906661158019446,0.44946187156180284,0.4898633811968379
54,2026-06-28T01:33:27+02:00,2026-06-27T23:33:27+00:00,54.209,2919,True,4,1 2 3 4,,1,True,present_still,0.603867196975806,-62.0,44.370750022663856,65.78255590177382,71.2926034372179,1.9874999999999998,172.1796875,4,7.523701824585378,0.45083976394962866,99.7816406398935,0.3430995307734618,0.23925905384940804
55,2026-06-28T01:33:28+02:00,2026-06-27T23:33:28+00:00,55.214,2959,True,4,1 2 3 4,,1,True,present_still,0.4012532551331539,-62.0,41.40478217893323,64.39872718932502,69.63745656751584,1.8125,179.72265625,4,7.523701824585378,0.4622615143892918,99.7816406398935,0.3585691055392696,0.36372514327544225
56,2026-06-28T01:33:29+02:00,2026-06-27T23:33:29+00:00,56.218,2999,True,4,1 2 3 4,,1,True,present_moving,0.6487005391727192,-62.0,48.34167275520592,76.58559311654632,76.08663499638277,1.625,209.30078125,5,12.170746734719108,0.4024591684864706,106.64740937675921,0.4705748253638036,0.5
57,2026-06-28T01:33:30+02:00,2026-06-27T23:33:30+00:00,57.223,3035,True,4,1 2 3 4,,1,True,present_moving,0.46378423993386086,-61.0,31.93385567212504,51.181005410636885,59.38336877216553,1.2875,163.07421875,8,7.523701824585378,0.4344166795025268,99.7816406398935,0.3892872182558898,0.5
58,2026-06-28T01:33:31+02:00,2026-06-27T23:33:31+00:00,58.226,3067,True,4,1 2 3 4,,1,True,present_still,0.5223774930240638,-62.0,40.55462056652631,63.066760442364405,71.71735684571094,0.7375,192.18359375,4,7.523701824585378,0.40662782598427766,99.7816406398935,0.38570430400308003,0.5
59,2026-06-28T01:33:32+02:00,2026-06-27T23:33:32+00:00,59.226,3106,True,4,1 2 3 4,,1,True,present_moving,0.4675944265324782,-61.0,31.070690374169043,48.97570190171851,60.08002139091353,1.6500000000000004,160.609375,10,7.523701824585378,0.3964854898905964,99.7816406398935,0.38820341218743404,0.5
